"Entry","SavedAs","Length"
"adodbapi/license.txt","adodbapi__license.txt","26925"
"pythonwin/License.txt","pythonwin__License.txt","1541"
"pythonwin/Scintilla-License.txt","pythonwin__Scintilla-License.txt","873"
"pythonwin/pywin/idle/LICENSE.txt","pythonwin__pywin__idle__LICENSE.txt","12540"
"pywin32-312.dist-info/licenses/adodbapi/license.txt","pywin32-312.dist-info__licenses__adodbapi__license.txt","26925"
"pywin32-312.dist-info/licenses/com/License.txt","pywin32-312.dist-info__licenses__com__License.txt","1570"
"pywin32-312.dist-info/licenses/com/win32comext/mapi/src/MAPIStubLibrary/LICENSE","pywin32-312.dist-info__licenses__com__win32comext__mapi__src__MAPIStubLibrary__LICENSE","1087"
"pywin32-312.dist-info/licenses/isapi/README.txt","pywin32-312.dist-info__licenses__isapi__README.txt","330"
"pywin32-312.dist-info/licenses/pythonwin/License.txt","pywin32-312.dist-info__licenses__pythonwin__License.txt","1541"
"pywin32-312.dist-info/licenses/pythonwin/Scintilla/License.txt","pywin32-312.dist-info__licenses__pythonwin__Scintilla__License.txt","873"
"pywin32-312.dist-info/licenses/pythonwin/pywin/idle/LICENSE.txt","pywin32-312.dist-info__licenses__pythonwin__pywin__idle__LICENSE.txt","12540"
"pywin32-312.dist-info/licenses/win32/License.txt","pywin32-312.dist-info__licenses__win32__License.txt","1541"
"win32/License.txt","win32__License.txt","1541"
"win32com/License.txt","win32com__License.txt","1570"
"win32comext/License.txt","win32comext__License.txt","1570"
"win32comext/mapi/MAPIStubLibrary-License.txt","win32comext__mapi__MAPIStubLibrary-License.txt","1087"
"win32comext/mapi/NOTICE.md","win32comext__mapi__NOTICE.md","476"
